1657377563479,1657377563648,226.99,0.24,40.6
1657377573380,1657377573948,228.75,0.24,42.2
1657377583640,1657377583806,227.76,0.24,42.1
1657377593560,1657377593720,228.65,0.24,42.2
1657377603099,1657377603719,228.33,0.24,42.3
1657377613630,1657377613780,229.19,0.24,42.3
1657377623581,1657377623715,226.64,0.24,40.2
1657377633283,1657377633910,226.57,0.24,40.2
1657377643586,1657377643738,228.43,0.24,42.3
1657377653514,1657377653717,228.09,0.24,42
1657377663513,1657377663665,226.82,0.24,42.1
1657377673547,1657377674149,227.02,0.23,41.3
1657377683580,1657377683739,229.19,0.24,42.3
1657377693479,1657377693648,227.55,0.24,41.4
1657377703300,1657377703855,228.79,0.23,42.3
1657377713613,1657377713769,229.15,0.24,42.4
1657377723514,1657377723657,228.6,0.23,42.4
1657377733455,1657377733995,228.01,0.24,41.9
1657377743529,1657377743678,228.52,0.24,42.3
1657377753565,1657377753706,227.24,0.23,42.4
1657377763611,1657377763831,229.09,0.24,42.3
1657377773641,1657377773786,229.42,0.24,42.4
1657377783565,1657377783704,228.42,0.24,42.3
1657377793401,1657377793977,229.16,0.24,42.3
1657377803550,1657377803706,226.88,0.24,41.1
1657377813486,1657377813654,228.85,0.24,42.2
1657377823354,1657377824008,228.22,0.24,42.2
1657377833481,1657377833683,226.74,0.24,40.4
1657377843563,1657377843783,228.31,0.24,42.3
1657377853543,1657377854160,227.28,0.24,42.2
1657377863638,1657377863832,228.95,0.24,42.2
1657377873526,1657377873733,229.01,0.24,42.2
1657377883249,1657377883816,228.74,0.24,42.2
1657377893228,1657377893786,228.48,0.24,42.3
1657377903626,1657377903760,228.93,0.24,42.2
1657377913546,1657377913687,228.75,0.24,42.2
1657377923450,1657377924009,227.71,0.24,41.9
1657377933611,1657377933752,227.03,0.24,42.1
1657377943488,1657377943656,227.28,0.24,41.4
1657377953316,1657377953865,227.8,0.24,42
1657377963592,1657377963741,228.27,0.24,42.2
1657377973625,1657377973785,228.54,0.24,42.2
1657377983426,1657377983970,226.15,0.24,40.7
1657377993518,1657377993722,226.34,0.24,40.3
1657378003588,1657378003783,226.33,0.24,40.5
1657378013589,1657378013798,228.1,0.24,42.1
1657378023501,1657378024101,226.96,0.24,40.9
1657378033522,1657378033666,226.58,0.24,41.3
1657378043601,1657378043747,227.78,0.24,42
1657378053525,1657378053680,228.83,0.24,42.2
1657378063460,1657378063664,228.43,0.24,42.2
1657378073582,1657378073728,228.28,0.24,42.1
1657378083475,1657378084024,228.61,0.24,42.1
1657378093572,1657378093773,226.39,0.23,42
1657378103572,1657378103785,226.81,0.23,41.8
1657378113495,1657378113697,227.78,0.24,42.1
1657378123236,1657378123837,227.05,0.23,42.1
1657378133238,1657378133785,226.55,0.24,41.2
1657378143614,1657378143758,228.25,0.24,42.1
1657378153517,1657378153671,227.89,0.24,42
1657378163429,1657378163980,226.71,0.23,42
1657378173562,1657378173709,226.09,0.24,40.1
1657378183602,1657378183740,225.86,0.24,40.6
1657378193253,1657378193791,228.45,0.24,42.1
1657378203585,1657378203732,228.37,0.24,42.2
1657378213556,1657378213702,228.33,0.24,42.1
1657378223431,1657378223984,227.18,0.24,42
1657378233609,1657378233778,227.01,0.23,42.1
1657378243446,1657378243647,227.16,0.24,42.1
1657378253585,1657378253733,226.15,0.24,40.2
1657378263508,1657378263670,226.3,0.24,40.5
1657378273311,1657378273854,226.58,0.24,40.7
1657378283625,1657378283768,227.14,0.23,41.4
1657378293543,1657378293699,228.37,0.24,42.2
1657378303059,1657378303677,226.62,0.24,40.5
1657378313542,1657378313707,229.01,0.24,42.3
1657378323581,1657378323750,228.99,0.24,42.2
1657378333125,1657378333739,227.14,0.23,42.1
1657378343633,1657378343794,228.79,0.24,42.2
1657378353528,1657378353706,228.59,0.24,42.1
1657378363546,1657378363757,226.07,0.24,40.2
1657378373343,1657378373883,226.12,0.24,40.3
1657378383516,1657378383656,226.48,0.24,40.4
1657378393564,1657378393709,226.81,0.24,40.5
1657378403466,1657378404010,227.87,0.24,42.1
1657378413608,1657378413759,226.77,0.24,40.9
1657378423633,1657378423778,228.56,0.24,42.1
1657378433222,1657378433762,226.08,0.23,40.7
1657378443608,1657378443761,227.75,0.24,42.1
1657378453511,1657378453656,228.31,0.24,42.2
1657378463459,1657378463994,226.57,0.23,42
1657378473590,1657378473758,229.01,0.24,42.3
1657378483491,1657378483647,226.41,0.24,40.7
1657378493582,1657378493746,228.72,0.24,42.2
1657378503510,1657378503670,226.47,0.23,42.1
1657378513026,1657378513645,228.05,0.24,42.1
1657378523561,1657378523717,226.1,0.24,40.7
1657378533604,1657378533772,228.15,0.24,42.1
1657378543491,1657378543704,228.6,0.24,42.1
1657378553623,1657378553842,228.73,0.24,42.2
1657378563539,1657378564154,228.97,0.24,42.2
1657378573628,1657378573843,227.08,0.24,42.1
1657378583553,1657378583754,227.64,0.24,41.9
1657378593488,1657378593686,226.79,0.23,42.2
1657378603500,1657378603660,227.16,0.24,42.1
1657378613228,1657378613810,228.61,0.24,42.2
1657378623585,1657378623745,227.48,0.23,42.2
1657378633508,1657378633671,227.34,0.24,41.7
1657378643423,1657378643980,228.24,0.23,42.3
1657378653517,1657378653729,226.59,0.24,40.6
1657378663530,1657378663731,227.67,0.23,42.2
1657378673174,1657378673722,228.12,0.24,42.2
1657378683509,1657378683660,228.59,0.24,42.2
1657378693589,1657378693732,227.54,0.24,41.8
1657378703320,1657378703869,228.78,0.24,42.1
1657378713499,1657378713643,226.64,0.24,40.5
1657378723541,1657378723689,226.51,0.24,42
1657378733544,1657378733712,226.36,0.24,40.9
1657378743168,1657378743768,228.79,0.24,42.2
1657378753503,1657378753696,228.3,0.24,42.2
1657378763454,1657378763650,227.37,0.24,41.4
1657378773350,1657378773950,227.45,0.23,42.2
1657378783596,1657378783801,227.42,0.23,42
1657378793487,1657378793693,227.17,0.23,42.4
1657378803163,1657378803700,229.28,0.24,42.4
1657378813630,1657378813777,229.35,0.24,42.4
1657378823531,1657378823684,229.49,0.24,42.5
1657378833297,1657378833843,227.07,0.24,40.7
1657378843566,1657378843786,227.02,0.24,40.6
1657378853314,1657378853906,227.49,0.24,41.9
1657378863511,1657378863656,227.44,0.24,42.2
1657378873548,1657378873713,228.15,0.24,41.4
1657378883460,1657378884029,229.21,0.24,42.4
1657378893643,1657378893791,228.02,0.23,42.5
1657378903476,1657378903692,227.29,0.24,40.8
1657378913231,1657378913783,227.55,0.24,41.9
1657378923536,1657378923703,229.56,0.24,42.5
1657378933606,1657378933827,229.58,0.24,42.5
1657378943364,1657378943915,228.32,0.24,41.9
1657378953464,1657378953668,228.04,0.23,42.5
1657378963564,1657378963716,227.57,0.24,41.3
1657378973629,1657378974190,227.28,0.24,40.7
1657378983554,1657378983759,227.46,0.23,42.3
1657378993459,1657378993657,227.55,0.24,41.7
1657379003563,1657379003765,229.04,0.24,42.3
1657379013592,1657379013747,229.63,0.24,42.5
1657379023605,1657379023804,227.19,0.24,42.6
1657379033210,1657379033754,227.39,0.24,40.8
1657379043569,1657379043710,228.83,0.24,42.5
1657379053595,1657379053736,228.44,0.24,42
1657379063345,1657379063895,229.15,0.24,42.5
1657379073500,1657379073649,227.51,0.24,41.9
1657379083570,1657379083713,227.86,0.24,41.2
1657379093592,1657379093805,227.96,0.24,42.3
1657379103476,1657379103686,228.23,0.23,42.6
1657379113049,1657379113656,229.11,0.24,42.6
1657379123575,1657379123725,229.97,0.24,42.6
1657379133516,1657379133661,227.96,0.23,42.7
1657379143614,1657379143812,228.21,0.23,42.6
1657379153495,1657379153697,228.25,0.24,41.6
1657379163591,1657379164129,229.65,0.24,42.6
1657379173590,1657379173733,227.57,0.23,42.1
1657379183625,1657379183823,226.79,0.23,41.4
1657379193541,1657379193753,228.93,0.24,42.3
1657379203798,1657379204346,226.82,0.24,40.4
1657379213610,1657379213755,227.79,0.23,42.2
1657379223150,1657379223697,227.39,0.24,42.1
1657379233605,1657379233810,229.22,0.24,42.5
1657379243503,1657379243704,227.33,0.24,42.4
1657379253262,1657379253817,227.25,0.24,40.9
1657379263498,1657379263649,227.82,0.24,42.4
1657379273603,1657379274200,228.05,0.23,42.3
1657379283108,1657379283649,227.11,0.24,40.8
1657379293537,1657379293684,229.09,0.23,42.4
1657379303571,1657379303710,227.57,0.23,42
1657379313170,1657379313715,226.76,0.24,40.5
1657379323598,1657379323755,227.05,0.24,40.5
1657379333491,1657379333651,228.37,0.24,42.2
1657379343607,1657379343763,226.99,0.23,42.2
1657379353500,1657379354063,229.26,0.24,42.3
1657379363623,1657379363784,227.15,0.23,41.2
1657379373523,1657379373683,227.52,0.24,41.2
1657379383225,1657379383765,228.49,0.24,42.3
1657379393557,1657379393704,226.58,0.24,40.3
1657379403603,1657379403741,226.99,0.24,41.9
1657379413372,1657379413915,227.61,0.23,42.3
1657379423534,1657379423674,226.51,0.24,40.5
1657379433579,1657379433726,226.76,0.24,40.4
1657379443131,1657379443686,229.09,0.24,42.3
1657379453626,1657379454233,229.17,0.24,42.2
1657379463082,1657379463641,229.17,0.24,42.3
1657379473532,1657379473703,227.5,0.24,42.3
1657379483609,1657379483758,227.86,0.24,41.9
1657379493190,1657379493737,228.96,0.24,42.2
1657379503512,1657379503652,226.65,0.24,41.2
1657379513574,1657379514200,226.84,0.24,40.5
1657379523611,1657379523758,228.93,0.24,40.7
1657379533564,1657379533710,227.08,0.24,40.6
1657379543613,1657379543758,229.58,0.24,42.6
1657379553218,1657379553769,227.18,0.24,41
1657379563540,1657379563683,227.58,0.24,40.9
1657379573511,1657379573678,229.31,0.23,42.5
1657379583571,1657379583714,227.95,0.24,41.8
1657379593480,1657379594020,229.05,0.24,42.5
1657379603642,1657379603800,226.86,0.24,41.2
1657379613549,1657379613718,226.79,0.23,42
1657379623366,1657379623916,228.38,0.24,42.3
1657379633449,1657379633682,227.13,0.24,42.4
1657379643580,1657379643729,228.55,0.24,42.3
1657379653479,1657379654028,229.01,0.24,42.4
1657379663567,1657379663792,229.27,0.24,42.5
1657379673463,1657379673678,229.13,0.23,42.5
1657379683177,1657379683795,227.4,0.24,40.9
1657379693574,1657379693729,226.78,0.23,42.2
1657379703275,1657379703832,228.17,0.24,42.4
1657379713605,1657379713748,227.18,0.23,42.3
1657379723636,1657379723781,226.27,0.23,41.4
1657379733388,1657379733927,226.07,0.24,40.6
1657379743537,1657379743698,226.9,0.23,41.9
1657379753637,1657379753788,228.54,0.24,42.1
1657379763213,1657379763783,225.84,0.24,40.2
1657379773514,1657379773680,228.58,0.24,42.1
1657379783615,1657379783783,227.06,0.24,42.2
1657379793340,1657379793912,228.32,0.24,42.1
1657379803592,1657379803739,228.5,0.24,42.3
1657379813554,1657379813698,228.22,0.23,42.1
1657379823525,1657379823666,227.15,0.24,41.5
1657379833169,1657379833719,227.98,0.23,42.2
1657379843539,1657379843687,227.08,0.23,42.1
1657379853575,1657379853720,227.92,0.24,42
1657379863505,1657379863656,227.6,0.24,42.1
1657379873590,1657379873734,227.95,0.24,42
1657379883603,1657379884201,227.88,0.24,42
1657379893597,1657379893738,226.91,0.24,41.9
1657379903612,1657379903755,225.54,0.24,41.7
1657379913524,1657379913673,226.7,0.24,41.6
1657379923274,1657379923843,227.31,0.24,41.9
1657379933540,1657379933687,225.04,0.24,40.5
1657379943341,1657379943925,225.43,0.24,40.1
1657379953631,1657379953840,227.42,0.24,41.9
1657379963517,1657379963717,226.65,0.24,41.7
1657379973387,1657379974021,226.97,0.24,41.7
1657379983543,1657379983760,224.87,0.24,39.8
1657379993417,1657379993642,227.19,0.24,41.8
1657380003072,1657380003677,227.33,0.24,41.8
1657380013608,1657380013828,226.97,0.24,39.8
1657380023522,1657380023731,227.19,0.24,41.8
1657380033198,1657380033815,224.83,0.24,40.2
1657380043535,1657380043685,227.11,0.24,41.8
1657380053515,1657380053656,226.27,0.24,41.6
1657380063556,1657380064102,225.86,0.23,41.8
1657380073547,1657380073693,226.91,0.23,41.8
1657380083483,1657380083638,225.22,0.24,40.4
1657380093507,1657380093653,225.47,0.23,40.8
1657380103533,1657380103675,225.15,0.24,40
1657380113568,1657380113717,224.95,0.24,40.1
1657380123452,1657380123995,225.09,0.24,40
1657380133585,1657380133730,225.77,0.24,41.4
1657380143521,1657380143667,228.54,0.24,42.2
1657380153540,1657380154085,228.12,0.24,42.1
1657380163521,1657380163668,228.79,0.24,42.2
1657380173142,1657380173694,226.31,0.24,40.3
1657380183597,1657380183763,227.5,0.23,42.3
1657380193486,1657380193650,228.9,0.24,42.3
1657380203260,1657380203809,226.96,0.23,42.3
1657380213573,1657380213713,226.35,0.24,40.4
1657380223642,1657380224218,228.13,0.23,42.2
1657380233639,1657380233783,227.91,0.24,42.2
1657380243607,1657380243766,226.62,0.24,40.4
1657380253549,1657380253697,227.89,0.23,42.3
1657380263327,1657380263886,226.65,0.24,40.7
1657380273638,1657380273797,226.97,0.24,40.5
1657380283546,1657380283693,229.32,0.24,42.4
1657380293529,1657380293681,226.95,0.24,40.7
1657380303615,1657380304153,226.69,0.24,40.5
1657380313574,1657380313740,229.09,0.24,42.4
1657380323514,1657380323672,226.82,0.23,41.8
1657380333618,1657380333766,228.98,0.24,42.3
1657380343591,1657380343729,229.04,0.24,42.4
1657380353512,1657380353657,227.29,0.23,42.4
1657380363568,1657380364165,227.08,0.24,42.2
1657380373565,1657380373730,228.56,0.24,42.4
1657380383495,1657380383665,227.1,0.24,40.5
1657380393604,1657380393747,227.3,0.24,40.5
1657380403545,1657380403747,227.29,0.24,41
1657380413408,1657380413947,227.75,0.24,42.3
1657380423560,1657380423727,229.18,0.23,42.6
1657380433627,1657380433766,228.21,0.24,42.4
1657380443538,1657380444085,229.39,0.24,42.4
1657380453567,1657380453711,227.5,0.24,40.9
1657380463631,1657380463781,226.98,0.24,40.5
1657380473360,1657380473914,229.53,0.24,42.6
1657380483513,1657380483672,229.29,0.24,42.5
1657380493590,1657380493757,228.14,0.24,41.9
1657380503507,1657380504074,229.73,0.24,42.6
1657380513634,1657380513803,229.03,0.24,42.5
1657380523586,1657380523790,228.4,0.24,42
1657380533626,1657380533772,227.22,0.24,40.9
1657380543481,1657380543647,229.03,0.24,42.5
1657380553196,1657380553747,227.45,0.24,40.8
1657380563510,1657380563662,227.06,0.24,40.7
1657380573578,1657380573784,229.78,0.24,42.5
1657380583053,1657380583654,228.03,0.23,42.3
1657380593617,1657380593807,228.06,0.23,42.5
1657380603575,1657380603787,227.11,0.24,40.7
1657380613278,1657380613881,227.09,0.24,41
1657380623589,1657380623787,227.92,0.24,42.4
1657380633545,1657380633749,227.94,0.24,41.6
1657380643603,1657380643752,229.62,0.24,42.5
1657380653639,1657380653787,229.5,0.24,42.5
1657380663560,1657380663709,229.51,0.24,42.5
1657380673181,1657380673728,227.32,0.23,42.3
1657380683530,1657380683679,229.01,0.24,42.4
1657380693503,1657380693650,228.82,0.24,42.3
1657380703026,1657380703644,227.88,0.23,42.3
1657380713531,1657380713671,226.41,0.24,40.3
1657380723615,1657380723786,226.88,0.24,40.8
1657380733154,1657380733776,226.21,0.24,40.6
1657380743454,1657380743679,228.07,0.24,42.2
1657380753607,1657380753754,226.35,0.24,40.4
1657380763542,1657380763709,228,0.24,42.2
1657380773603,1657380773799,228.35,0.23,42.2
1657380783552,1657380783748,227.07,0.24,41.3
1657380793490,1657380793678,228.56,0.24,42.2
1657380803609,1657380803817,226.96,0.23,41.9
1657380813543,1657380813742,228.6,0.24,42.2
1657380823454,1657380824062,226.1,0.23,41.8
1657380833600,1657380833802,226.02,0.24,40.2
1657380843629,1657380843825,227.52,0.23,42.2
1657380853515,1657380853711,226.4,0.23,42.1
1657380863110,1657380863656,228.53,0.24,42.3
1657380873598,1657380873743,226.51,0.24,41.8
1657380883487,1657380884039,226.09,0.24,40.4
1657380893554,1657380893699,225.98,0.24,40.4
1657380903459,1657380904000,228.52,0.24,42.2
1657380913545,1657380913765,228.16,0.24,42.2
1657380923417,1657380923646,228.19,0.24,42.2
